,Toode,Hind
0,"Banaan Chiquita, kg","1,39 €  1,39 €/kg "
1,"Kurk Luunja, kg","5,99 €  5,99 €/kg "
2,"Kirssploomtomat, 250 g","1,59 € 6,36 €/kg "
3,"Kirsskobartomat, 500 g","1,79 € 7,16 €/kg "
4,"Apelsin Navel, kg","2,99 €  5,98 €/kg "
5,"Frillis lõigatud, tk","1,99 €  1,99 €/kg "
6,"Porgand, LAHEOTSA, 500 g","1,29 €  1,29 €/tk "
7,"Õun Golden pakitud, 1 kg","0,59 €  1,18 €/kg "
8,"Kobartomat, kg","1,29 €  1,29 €/kg "
9,"Avokaado karbis Ready to Eat, 300 g","3,49 €  3,49 €/kg "
10,"Pirn Conference, 1 kg","2,59 € 8,63 €/kg "
11,"Õun Jonagold, kg","2,99 € 9,97 €/kg "
12,"Mugulsibul pakitud võrgus, 1 kg","2,49 €  2,49 €/kg "
13,"Sidrun, kg","1,29 €  1,29 €/kg "
14,"Õun Kanzi, kg","0,69 € 0,69 €/kg "
15,"Lehtsalat potis, GRÜNE FEE, tk","0,89 € 0,89 €/kg "
16,"Melon kollane, kg","1,99 €  1,99 €/kg "
17,"Õun Royal Gala, kg","2,99 €  2,99 €/kg "
18,"Lillkapsas, kg","1,29 €  1,29 €/tk "
19,"Paprika punane, kg","1,49 € 1,49 €/kg "
20,"Tomat lahtine, kg","1,79 € 1,79 €/kg "
21,"Pirn Conference, kg","1,49 €  1,49 €/kg "
22,"Porgand pakitud, KADARBIKU KÖÖGIVILI, 500 g","1,99 €  1,99 €/kg "
23,"Ananass, kg","2,49 € 2,49 €/kg "
24,"Suvikõrvits, kg","2,99 € 2,99 €/kg "
25,"Mahlaapelsin võrgus, 1 kg","1,29 €  1,29 €/kg "
26,"Kirssploomtomat, SAN MAZZO, 500 g","1,69 €  1,69 €/kg "
27,"Salat beebispinat, SELVER, 75 g","0,39 € 0,78 €/kg "
28,"Talukartul pakendatud, 2,5 kg","0,59 € 1,18 €/kg "
29,"Arbuus, kg","1,79 €  1,79 €/kg "
30,"Kartul Laura pakendatud, 2kg","1,99 €  1,99 €/kg "
31,"Peakapsas, kg","1,19 € 1,19 €/kg "
32,"Bataat, kg","1,49 € 1,49 €/kg "
33,"Värske pakitud porgand, valmis söömiseks, 200 g","6,99 €  13,98 €/kg "
34,"Pikk kurk, kg","0,99 € 13,20 €/kg "
35,"Kartul, LAHEOTSA, 2 kg","1,29 € 17,20 €/kg "
36,"Kiivi korvis, 1 kg","2,49 €  1,00 €/kg "
37,"Šampinjonid valged, 230 g","2,99 €  2,99 €/kg "
38,"Jääsalat, kg","2,69 €  1,35 €/kg "
39,"Salatisegu, SELVER, 75 g","0,29 €  0,29 €/kg "
40,"Mustikas karbis, 125 g","2,39 €  2,39 €/kg "
41,"Aurutatud riivitud peet, MÕISAPROUA, 500 g","1,49 €  7,45 €/kg "
42,"Mustikas karbis, 500 g","3,99 €  3,99 €/kg "
43,"Redis tuutus, 125 g","1,59 € 0,80 €/kg "
44,"Õun Golden, kg","1,99 € 1,00 €/kg "
45,"Mandariin Klementiin, kg","1,99 €  1,99 €/kg "
46,"Aurutatud punapeet, MOISAPROUA, 500 g","1,49 €  6,48 €/kg "
47,"Varsseller, kg","1,69 €  1,69 €/kg "
48,"Paprika Ramiro , 200 g","1,29 €  17,20 €/kg "
49,"Avokaado võrgus, 700 g","2,29 €  18,32 €/kg "
50,"Mandariin võrgus, 1 kg","0,99 €  1,98 €/kg "
51,"Spargelkapsas ehk brokoli, kg","7,99 €  15,98 €/kg "
52,"Küüslaugu küüned pakitud, 100 g","0,79 €  6,32 €/kg "
53,"Kaalikas, kg","1,99 €  1,99 €/kg "
